Date,Open,High,Low,Close,Adj Close,Volume
"Aug 25, 2015",5898.9,6115.7,5898.9,6081.3,6081.3,1335924300
"Aug 24, 2015",6187.7,6187.7,5768.2,5898.9,5898.9,1657266300
"Aug 21, 2015",6367.9,6367.9,6187.7,6187.7,6187.7,807243600
"Aug 20, 2015",6403.5,6408.6,6359.7,6367.9,6367.9,728564100
"Aug 19, 2015",6526.3,6526.5,6403.5,6403.5,6403.5,699446800
"Aug 18, 2015",6550.3,6564.6,6505.7,6526.3,6526.3,538348700
"Aug 17, 2015",6550.7,6585.9,6507.8,6550.3,6550.3,471278500
"Aug 14, 2015",6568.3,6603.2,6544.4,6550.7,6550.7,577612000
"Aug 13, 2015",6571.2,6634.7,6553.5,6568.3,6568.3,668900300
"Aug 12, 2015",6664.5,6664.5,6536.4,6571.2,6571.2,1085554700
"Aug 11, 2015",6736.2,6736.2,6664,6664.5,6664.5,727572100
"Aug 10, 2015",6718.5,6751.5,6653.7,6736.2,6736.2,765478700
"Aug 07, 2015",6747.1,6754.8,6718.5,6718.5,6718.5,595585900
"Aug 06, 2015",6752.4,6763.3,6717.5,6747.1,6747.1,691613500
"Aug 05, 2015",6686.6,6764.8,6686.6,6752.4,6752.4,847270800
"Aug 04, 2015",6688.6,6715.5,6644.7,6686.6,6686.6,1399430100
"Aug 03, 2015",6696.3,6710.8,6668.2,6688.6,6688.6,679885300
"Jul 31, 2015",6668.9,6705.4,6646.3,6696.3,6696.3,958422600
"Jul 30, 2015",6631,6697.4,6631,6668.9,6668.9,778087100
